Frequency(ppm);Intensity
-52,63069;-0,0398681200300808
-52,62894;-0,0412832904081959
-52,62719;0,0691207240498656
-52,62543;-0,0562976555445875
-52,62368;-0,276839309042996
-52,62193;0,20940993599969
-52,62017;-0,250177653717955
-52,61842;-0,199489266915402
-52,61667;-0,274878367960086
-52,61492;0,00152842310718701
-52,61317;-0,0132681488749807
-52,61141;0,0482109766302041
-52,60966;-0,0143603856527154
-52,60791;0,0684218236603803
-52,60616;-0,255737490309402
-52,6044;0,0883630408444849
-52,60266;0,252997950573275
-52,60091;-0,306158763455145
-52,59915;-0,0667185559903275
-52,5974;-0,607680945376217
-52,59565;0,259499195057647
-52,5939;-0,11763676637076
-52,59214;-0,12201052870174
-52,59039;-0,136276446903244
-52,58864;0,11071388657279
-52,58689;0,280855394789683
-52,58514;0,111722117225492
-52,58338;-0,259822674206325
-52,58163;0,0247310398673511
-52,57988;-0,251180478708314
-52,57813;0,0448070436392366
-52,57637;-0,0730561810531006
-52,57463;-0,0333550724997824
-52,57288;-0,393585701843946
-52,57112;-0,189314621206922
-52,56937;0,285074203974539
-52,56762;-0,223548084246403
-52,56587;-0,169727524253298
-52,56411;-0,188556785150061
-52,56236;0,241416458251089
-52,56061;0,0900869857780478
-52,55886;0,356169244461591
-52,55711;0,19818601312058
-52,55535;-0,0623542631863237
-52,5536;0,0956320605714755
-52,55185;0,395829271020834
-52,5501;-0,0183876451403448
-52,54834;0,360770312946948
-52,5466;0,0724436507430408
-52,54485;0,0664062987297226
-52,54309;0,187564334312937
-52,54134;0,097810473575045
-52,53959;-0,178312162127659
-52,53784;0,140431861741252
-52,53608;-0,0482601081968805
-52,53433;-0,0537591265778908
-52,53258;-0,498416838694033
-52,53083;0,0661878522707124
-52,52908;-0,112133047580101
-52,52732;-0,232257523772835
-52,52557;-0,227711128833658
-52,52382;0,1639105394913
-52,52207;-0,0353727055580779
-52,52031;0,0677508331570639
-52,51857;-0,0509650165459687
-52,51682;0,297257564458013
-52,51506;-0,294669983262696
-52,51331;0,216772470857342
